Price_List_Code,Source_Type,Assign_to_No,Product_No,Description,Unit_Cost,Unit_Price,Line_Discount_Percent,Minimum_Quantity,Starting_Date,Ending_Date,Posting_Group
GNB-01,Customer Price Group,GNB,FH12-00179-02,"RESIDENTIAL OPERATOR BRACKET (WHITE POWDER COAT) 24""",9.385,13.41,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00190-00,"CHAIN HOIST WALL MOUNT 1"" BORE",73.49,104.99,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00196-00,"RESIDENTIAL OPERATOR BRACKET (WHITE POWDER COAT) 27""",19.08,27.26,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00197-00,"BOTTOM BRACKET, CBB-95-3 STD LH",4.12,5.89,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00197-01,"BOTTOM BRACKET, CBB-95-3 STD LH - POWDERCOATED",8.13,11.61,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00198-00,"BOTTOM BRACKET, CBB-95-3 STD RH",4.12,5.89,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00198-01,"BOTTOM BRACKET, CBB-95-3 STD RH - POWDERCOATED",8.13,11.61,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00199-00,"BB-7 3"" BOTTOM BRACKETS NOTCHED LH",3.49,4.99,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00199-01,"BB-7 3"" BOTTOM BRACKETS NOTCHED LH POWDERCOATED",12.095,17.28,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00200-00,"BB-7 3"" BOTTOM BRACKETS NOTCHED RH",3.49,4.99,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00200-01,"BB-7 3"" BOTTOM BRACKETS NOTCHED RH POWDERCOATED",12.095,17.28,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH12-00206-01,COMMERCIAL BOTTOM BRACKET (PR),17.91679,25.6,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH13-00006-00,SPADE PULL HANDLES (SET OF 2),6.94,9.91,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH13-00009-00,"SIDE LOCK, 3""",12.5,17.86,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH13-00011-00,"HANDLE, LIFT, GALV",1.53,2.19,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH13-00014-00,"STEP PLATE,GALV",1.7,2.43,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH13-00020-00,"DOOR CLOSER, MANDOOR",148.16,211.66,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH13-00021-00,"DOOR LOCK (BRASS)/ NIGHT LATCH, MANDOOR",96.15,137.36,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH13-00030-00,"SASH CORD, ALL PURPOSE #10, WHITE",0.82,1.17,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH14-00007-00,"MANDOOR CONTINUOUS HINGE, MANDOOR",304.95,435.64,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH14-00020-00,"MANDOOR, CLOSURE PLATE,LARGE, ALUM 6061-T6",16.36,23.37,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH14-00021-00,"MANDOOR, CLOSURE PLATE, SMALL,  ALUM 6061-T6",9.79,13.99,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH14-00022-00,"MANDOOR, NIGHT LATCH MOUNTING PLATE,  ALUM 6061-T6, BIG, RECTANGLE",6.79,9.7,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH15-00006-00,"LONG STEM, 2"" STEEL ROLLER",3.21,4.59,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH15-00007-00,"LONG STEM, 2"" WHITE NYLON ROLLER",1.03131,1.47,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH15-00008-00,"SHORT STEM, 2"" STEEL ROLLER",1.44,2.06,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH15-00009-00,"SHORT STEM, 3"" STEEL ROLLER",2.20713,3.15,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH15-00011-00,"LONG STEM, 3"" STEEL ROLLER",2.11,3.01,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH15-00012-00,"SHORT STEM, 2"" WHITE NYLON ROLLER",2.58,3.69,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH15-00016-00,"3"" LONG STEM NYSTROL ROLLER",12.11898,17.31,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH16-00009-00,SPROCKET CHAIN #50 (5'),183.06,261.51,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH17-00001-00,"STRUT, 20 GA, 2-1/4 X 12'",25.11,35.87,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH17-00002-00,"STRUT, 20 GA, 2-1/4 X 14'",12.96,18.51,0,0,2026-05-06,,HARD
GNB-01,Customer Price Group,GNB,FH17-00003-00,"STRUT, 20 GA, 2-1/4 X 16'",24.66771,35.24,0,0,2026-05-06,,HARD
